2025-07-01 00:01:30.251 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.SlackMessageCoordinator [] - Received a SlackMessage from akka://DemoExecutorHelperSpec/user/worker-gabriel to akka://DemoExecutorHelperSpec/user/worker-rafael
2025-07-01 00:01:30.256 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - Received AskForHelp message from akka://DemoExecutorHelperSpec/user/slack-message-coordinator
2025-07-01 00:01:30.257 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - akka://DemoExecutorHelperSpec/user/worker-rafael, changing status from Idle to WaitingResponse
2025-07-01 00:01:30.257 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - Replying to sender akka://DemoExecutorHelperSpec/user/slack-message-coordinator with HelpResponse
2025-07-01 00:01:30.257 [StatefulActorSpec-akka.actor.default-dispatcher-5] INFO  d.actors.simple.SimpleActorSender [] - SimpleActorSender '$a' started
2025-07-01 00:01:30.257 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.SlackMessageCoordinator [] - Forwarding the message: HelpResponseStateful(I will help you!) from akka://DemoExecutorHelperSpec/user/worker-rafael to akka://DemoExecutorHelperSpec/user/worker-rafael
2025-07-01 00:01:30.258 [StatefulActorSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.simple.SimpleActorAsk [] - SimpleActorAsk '$a' started
2025-07-01 00:01:30.258 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - Received HelpResponse message from akka://DemoExecutorHelperSpec/user/slack-message-coordinator
2025-07-01 00:01:30.258 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - akka://DemoExecutorHelperSpec/user/worker-gabriel, changing status from Idle to Available
2025-07-01 00:01:30.258 [SimpleActorAskSpec-akka.actor.default-dispatcher-6] INFO  demo.actors.simple.SimpleActorAsk [] - [$a] Processing IntMessage: IntMessage(42) from akka://SimpleActorAskSpec/system/testActor-1
2025-07-01 00:01:30.258 [StatefulActorSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - WorkerActor Rafael started with status Idle
2025-07-01 00:01:30.259 [StatefulActorSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - WorkerActor Gabriel started with status Idle
2025-07-01 00:01:30.258 [SimpleActorSenderSpec-akka.actor.default-dispatcher-5] INFO  d.actors.simple.SimpleActorSender [] - [$a] Processing IntMessage: IntMessage(42)
2025-07-01 00:01:30.258 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.SlackMessageCoordinator [] - Forwarding the message: SendMeetingLinkStateful(Can you join in this meeting link ?) from akka://DemoExecutorHelperSpec/user/worker-gabriel to akka://DemoExecutorHelperSpec/user/worker-gabriel
2025-07-01 00:01:30.260 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - Received SendMeetingLink message from akka://DemoExecutorHelperSpec/user/slack-message-coordinator
2025-07-01 00:01:30.260 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.stateful.StatefulActor [] - akka://DemoExecutorHelperSpec/user/worker-rafael, changing status from WaitingResponse to InMeeting
2025-07-01 00:01:30.261 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.SlackMessageCoordinator [] - Both workers are in meeting, forwarding the message: JoinMeetingStateful(Yes, I can join) from akka://DemoExecutorHelperSpec/user/worker-rafael to akka://DemoExecutorHelperSpec/user/worker-gabriel
2025-07-01 00:01:30.262 [DemoExecutorHelperSpec-akka.actor.default-dispatcher-5] INFO  demo.actors.SlackMessageCoordinator [] - Received message Both workers are in meeting
2025-07-01 00:01:30.264 [SimpleActorAskSpec-akka.actor.default-dispatcher-7] INFO  demo.actors.simple.SimpleActorAsk [] - SimpleActorAsk '$b' started
2025-07-01 00:01:30.265 [SimpleActorAskSpec-akka.actor.default-dispatcher-7] INFO  demo.actors.simple.SimpleActorAsk [] - [$b] Processing StringMessage: StringMessage(Hello, World!) from akka://SimpleActorAskSpec/system/testActor-1
2025-07-01 00:01:30.265 [SimpleActorAskSpec-akka.actor.default-dispatcher-6] INFO  demo.actors.simple.SimpleActorAsk [] - SimpleActorAsk '$c' started
2025-07-01 00:01:30.266 [SimpleActorAskSpec-akka.actor.default-dispatcher-7] INFO  demo.actors.simple.SimpleActorAsk [] - [$c] Processing DoubleMessage: DoubleMessage(3.14) from akka://SimpleActorAskSpec/system/testActor-1
2025-07-01 00:01:30.267 [SimpleActorAskSpec-akka.actor.default-dispatcher-6] INFO  demo.actors.simple.SimpleActorAsk [] - SimpleActorAsk '$d' started
2025-07-01 00:01:30.269 [StatefulActorSpec-akka.actor.default-dispatcher-7] INFO  demo.actors.stateful.StatefulActor [] - WorkerActor TestWorker started with status Idle
